Warehouse,Country,Region/State,Zip/Postal Code,Weight (and above),Method,Shipping Price
0,USA,AZ,,57,1,0
0,USA,AZ,,58,1,0
0,USA,AZ,,59,1,0
0,USA,AZ,,60,1,0
0,USA,AZ,,61,1,0
0,USA,AZ,,62,1,0
0,USA,AZ,,63,1,0
0,USA,AZ,,64,1,0
0,USA,AZ,,65,1,0
0,USA,AZ,,66,1,0
0,USA,AZ,,67,1,0
0,USA,AZ,,68,1,0
0,USA,AZ,,69,1,0
0,USA,AZ,,70,1,0
0,USA,AZ,,71,1,0
0,USA,AZ,,72,1,0
0,USA,AZ,,73,1,0
0,USA,AZ,,74,1,0
0,USA,AZ,,75,1,0
0,USA,AZ,,76,1,0
0,USA,AZ,,77,1,0
0,USA,AZ,,78,1,0
0,USA,AZ,,79,1,0
0,USA,AZ,,80,1,0
0,USA,AZ,,81,1,0
0,USA,AZ,,82,1,0
0,USA,AZ,,83,1,0
0,USA,AZ,,84,1,0
0,USA,AZ,,85,1,0
0,USA,AZ,,86,1,0
0,USA,AZ,,87,1,0
0,USA,AZ,,88,1,0
0,USA,AZ,,89,1,0
0,USA,AZ,,90,1,0
0,USA,AZ,,91,1,0
0,USA,AZ,,92,1,0
0,USA,AZ,,93,1,0
0,USA,AZ,,94,1,0
0,USA,AZ,,95,1,0
0,USA,AZ,,96,1,0
0,USA,AZ,,97,1,0
0,USA,AZ,,98,1,0
0,USA,AZ,,99,1,0
0,USA,AZ,,100,1,0
0,USA,AZ,,101,1,0
0,USA,AZ,,102,1,0
0,USA,AZ,,103,1,0
0,USA,AZ,,104,1,0
0,USA,AZ,,105,1,0
0,USA,AZ,,106,1,0
0,USA,AZ,,107,1,0
0,USA,AZ,,108,1,0
0,USA,AZ,,109,1,0
0,USA,AZ,,110,1,0
0,USA,AZ,,111,1,0
0,USA,AZ,,112,1,0
0,USA,AZ,,113,1,0
0,USA,AZ,,114,1,0
0,USA,AZ,,115,1,0
0,USA,AZ,,116,1,0
0,USA,AZ,,117,1,0
0,USA,AZ,,118,1,0
0,USA,AZ,,119,1,0
0,USA,AZ,,120,1,0
0,USA,AZ,,121,1,0
0,USA,AZ,,122,1,0
0,USA,AZ,,123,1,0
0,USA,AZ,,124,1,0
0,USA,AZ,,125,1,0
0,USA,AZ,,126,1,0
0,USA,AZ,,127,1,0
0,USA,AZ,,128,1,0
0,USA,AZ,,129,1,0
0,USA,AZ,,130,1,0
0,USA,AZ,,131,1,0
0,USA,AZ,,132,1,0
0,USA,AZ,,133,1,0
0,USA,AZ,,134,1,0
0,USA,AZ,,135,1,0
0,USA,AZ,,136,1,0
0,USA,AZ,,137,1,0
0,USA,AZ,,138,1,0
0,USA,AZ,,139,1,0
0,USA,AZ,,140,1,0
0,USA,AZ,,141,1,0
0,USA,AZ,,142,1,0
0,USA,AZ,,143,1,0
0,USA,AZ,,144,1,0
0,USA,CA,,1,1,9.99
0,USA,CA,,2,1,9.99
0,USA,CA,,3,1,9.99
0,USA,CA,,4,1,9.99
0,USA,CA,,5,1,9.99
0,USA,CA,,6,1,9.99
0,USA,CA,,7,1,9.99
0,USA,CA,,8,1,9.99
0,USA,CA,,9,1,9.99
0,USA,CA,,10,1,9.99
0,USA,CA,,11,1,9.99
0,USA,CA,,12,1,9.99
0,USA,CA,,13,1,9.99
0,USA,CA,,14,1,9.99
0,USA,CA,,15,1,9.99
0,USA,CA,,16,1,9.99
0,USA,CA,,17,1,9.99
0,USA,CA,,18,1,9.99
0,USA,CA,,19,1,9.99
0,USA,CA,,20,1,9.99
0,USA,CA,,21,1,9.99
0,USA,CA,,22,1,9.99
0,USA,CA,,23,1,9.99
0,USA,CA,,24,1,0
0,USA,CA,,25,1,0
0,USA,CA,,26,1,0
0,USA,CA,,27,1,0
0,USA,CA,,28,1,0
0,USA,CA,,29,1,0
0,USA,CA,,30,1,0
0,USA,CA,,31,1,0
0,USA,CA,,32,1,0
0,USA,CA,,33,1,0
0,USA,CA,,34,1,0
0,USA,CA,,35,1,0
0,USA,CA,,36,1,0
0,USA,CA,,37,1,0
0,USA,CA,,38,1,0
0,USA,CA,,39,1,0
0,USA,CA,,40,1,0
0,USA,CA,,41,1,0
0,USA,CA,,42,1,0
0,USA,CA,,43,1,0
0,USA,CA,,44,1,0
0,USA,CA,,45,1,0
0,USA,CA,,46,1,0
0,USA,CA,,47,1,0
0,USA,CA,,48,1,0
